            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462240.200694445, A.D. 2029-Apr-13 16:49:00.0000, -1.115617125831842E+05, -3.928064268976873E+04, -2.685444822078883E+04,  4.609918194640308E+00,  4.039844082882912E+00,  1.767882872838348E+00,
2462240.201388889, A.D. 2029-Apr-13 16:50:00.0000, -1.112850725673139E+05, -3.903823624955480E+04, -2.674836443021431E+04,  4.611417255885158E+00,  4.040370822152488E+00,  1.768243772620550E+00,
2462240.202083333, A.D. 2029-Apr-13 16:51:00.0000, -1.110083423212171E+05, -3.879579816329130E+04, -2.664225893281493E+04,  4.612925882983873E+00,  4.040898950661070E+00,  1.768606435296370E+00,
2462240.202777778, A.D. 2029-Apr-13 16:52:00.0000, -1.107315212683082E+05, -3.855332834773310E+04, -2.653613162250091E+04,  4.614444163497279E+00,  4.041428464062695E+00,  1.768970872361558E+00,
2462240.203472222, A.D. 2029-Apr-13 16:53:00.0000, -1.104546088267863E+05, -3.831082671995522E+04, -2.642998239242242E+04,  4.615972186002068E+00,  4.041959357752678E+00,  1.769337095388497E+00,
2462240.204166667, A.D. 2029-Apr-13 16:54:00.0000, -1.101776044094265E+05, -3.806829319725554E+04, -2.632381113510112E+04,  4.617510040104579E+00,  4.042491626860681E+00,  1.769705116026329E+00,
2462240.204861111, A.D. 2029-Apr-13 16:55:00.0000, -1.099005074235499E+05, -3.782572769728443E+04, -2.621761774231707E+04,  4.619057816454852E+00,  4.043025266243676E+00,  1.770074946001059E+00,
2462240.205555555, A.D. 2029-Apr-13 16:56:00.0000, -1.096233172711432E+05, -3.758313013796868E+04, -2.611140210515801E+04,  4.620615606760872E+00,  4.043560270478697E+00,  1.770446597115662E+00,
2462240.206250000, A.D. 2029-Apr-13 16:57:00.0000, -1.093460333486497E+05, -3.734050043760923E+04, -2.600516411400130E+04,  4.622183503803015E+00,  4.044096633855434E+00,  1.770820081250130E+00,
2462240.206944444, A.D. 2029-Apr-13 16:58:00.0000, -1.090686550467312E+05, -3.709783851479948E+04, -2.589890365851283E+04,  4.623761601448726E+00,  4.044634350368604E+00,  1.771195410361550E+00,
2462240.207638889, A.D. 2029-Apr-13 16:59:00.0000, -1.087911817505956E+05, -3.685514428857980E+04, -2.579262062762872E+04,  4.625349994667438E+00,  4.045173413710179E+00,  1.771572596484123E+00,
2462240.208333333, A.D. 2029-Apr-13 17:00:00.0000, -1.085136128395498E+05, -3.661241767831570E+04, -2.568631490955537E+04,  4.626948779545641E+00,  4.045713817261379E+00,  1.771951651729176E+00,
2462240.209027778, A.D. 2029-Apr-13 17:01:00.0000, -1.082359476872981E+05, -3.636965860380657E+04, -2.557998639179544E+04,  4.628558053302262E+00,  4.046255554084466E+00,  1.772332588285163E+00,
2462240.209722222, A.D. 2029-Apr-13 17:02:00.0000, -1.079581856614649E+05, -3.612686698526730E+04, -2.547363496108674E+04,  4.630177914304234E+00,  4.046798616914358E+00,  1.772715418417615E+00,
